"Статус","Количество"
"Active","32"
"Accepted","19"
"Deferred","35"
"Final","322"
"Provisional","3"
"Rejected","124"
"Superseded","24"
"Withdrawn","62"
"Draft","39"
"April Fool!","1"
"Total","661"
